 0.0000000 0.0000000
 0.0054781 -.0084396
 0.0080864 -.0103518
 0.0132555 -.0133389
 0.0260565 -.0186537
 0.0514585 -.0257546
 0.0767397 -.0307223
 0.1019502 -.0344441
 0.1522404 -.0395751
 0.2024329 -.0429816
 0.2525847 -.0456705
 0.3027066 -.0478310
 0.3528025 -.0495330
 0.4028679 -.0506968
 0.4528915 -.0511229
 0.5028435 -.0502831
 0.5527361 -.0483967
 0.6025808 -.0456630
 0.6523926 -.0423512
 0.7021761 -.0385409
 0.7519321 -.0342423
 0.8016526 -.0293156
 0.8513194 -.0234420
 0.9009330 -.0166315
 0.9504992 -.0089836
 1.0000000 -.0001794
